1,AFAM III FAST POWER,53.00,53.00,53.00,53.00,53.00,53.00,53.00,54.00,54.00,54.00,54.00,54.00,54.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,52.00,0.00,143.70,"1,306.70"
2,AFAM VI (GAS/STEAM),260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,260.00,"6,240.00"
3,AZURA-EDO IPP (GAS),395.00,378.00,403.00,384.00,375.00,390.00,393.00,423.00,423.00,375.00,375.00,399.00,382.00,417.00,375.00,408.00,397.00,415.00,375.00,420.00,423.00,420.00,400.00,408.00,"9,553.00"
4,DADINKOWA G.S (HYDRO),16.05,16.05,16.07,16.03,16.03,16.14,16.14,16.14,16.05,16.10,16.07,16.05,16.07,16.14,16.10,16.14,16.07,16.10,16.05,16.07,16.14,16.03,16.07,16.10,386.00
5,DELTA (GAS),489.00,490.00,485.00,587.00,587.00,569.00,497.00,490.00,536.00,536.00,529.00,528.00,528.00,501.00,501.00,496.00,506.00,504.00,516.00,538.00,547.00,551.00,549.00,556.00,"12,616.00"
6,EGBIN (STEAM),627.00,627.00,627.00,0.00,627.00,627.00,626.00,655.00,717.00,711.00,711.00,711.00,711.00,712.00,708.00,715.00,712.00,711.00,710.00,710.00,0.00,710.00,711.00,712.00,"15,088.00"
7,GEREGU (GAS),232.00,227.00,233.00,228.00,220.00,231.00,232.00,160.00,235.00,226.00,220.00,232.00,229.00,229.00,205.00,209.00,0.00,228.00,223.00,231.00,232.00,0.00,233.00,235.00,"4,930.00"
8,GEREGU NIPP (GAS),251.00,250.00,160.00,250.00,251.00,161.00,161.00,114.00,135.00,251.00,250.00,160.00,204.00,205.00,205.00,225.00,226.00,225.00,250.00,249.00,225.00,249.00,250.00,205.00,"5,112.00"
9,GPAL (GAS),30.41,28.79,28.80,29.26,33.03,31.39,33.60,34.24,30.46,34.65,29.63,29.45,32.58,32.70,32.83,30.85,31.78,33.13,35.36,32.45,33.63,34.15,33.51,33.35,770.03
10,JEBBA (HYDRO),376.00,376.00,376.00,376.00,376.00,376.00,376.00,372.00,372.00,373.00,373.00,373.00,372.00,373.00,372.00,370.00,378.00,378.00,378.00,379.00,377.00,377.00,377.00,377.00,"9,003.00"
11,KAINJI (HYDRO),420.00,404.00,425.00,402.00,393.00,420.00,412.00,432.00,353.00,330.00,318.00,332.00,351.00,0.00,0.00,366.00,351.00,364.00,0.00,367.00,467.00,452.00,448.00,442.00,"8,249.00"
12,ODUKPANI NIPP (GAS),313.90,309.70,311.40,309.90,301.40,314.20,203.60,204.20,208.50,200.70,186.90,305.60,300.00,297.60,295.50,299.60,299.40,0.00,287.40,307.90,311.00,312.30,310.50,314.00,"6,505.20"
13,OKPAI (GAS/STEAM),186.00,179.00,188.00,181.00,172.00,0.00,191.00,203.00,200.00,174.00,216.00,183.00,176.00,198.00,166.00,180.00,174.00,182.00,162.00,186.00,187.00,187.00,178.00,182.00,"4,231.00"
14,OLORUNSOGO (GAS),193.70,183.80,193.40,193.70,166.90,188.10,189.00,190.40,191.70,181.60,171.20,187.80,179.80,185.40,177.30,188.20,185.80,187.40,171.60,192.10,191.80,176.10,188.10,188.20,"4,443.10"
15,OMOKU (GAS),186.30,36.40,36.50,36.50,36.70,36.20,36.50,36.40,33.30,33.20,32.90,33.40,33.00,32.70,33.10,33.20,0.00,0.00,32.90,49.70,52.80,51.80,51.60,52.40,997.50
16,OMOTOSHO (GAS),179.50,174.20,180.90,175.10,149.90,186.00,183.40,190.00,179.80,168.80,162.10,176.00,163.90,176.00,158.60,177.10,175.90,177.40,161.40,183.00,185.60,185.20,181.80,183.80,"4,215.40"
17,OMOTOSHO NIPP (GAS),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.80,95.80
18,PARAS ENERGY (GAS),110.30,110.10,110.10,110.10,110.40,110.10,110.00,111.30,110.70,110.10,110.10,108.90,102.50,102.70,104.10,104.10,103.90,104.00,110.10,110.10,110.10,110.50,110.10,110.40,"2,604.80"
